focus,A,actual_dist,score,Pred_dist
800,3.5,1000,545510306,999.9883847
800,3.5,1100,361037624,1099.983534
800,4,500,238397490,500.0037329
800,4,600,332577218,600.0004818
800,4,700,685387612,699.9988592
800,4,800,4225942720,799.995605
800,4,900,1205931292,899.9920985
800,4,1000,512207296,999.9883847
800,4,1100,327205702,1099.983534
800,4.5,500,284187628,500.0037329
800,4.5,600,387474206,600.0004818
800,4.5,700,581042422,699.9988592
800,4.5,800,3448715382,799.995605
800,4.5,900,1458398032,899.9920985
800,4.5,1000,758633572,999.9883847
800,4.5,1100,478494286,1099.983534
800,5,500,364561508,500.0037329
800,5,600,478283096,600.0004818
800,5,700,875533358,699.9988592
800,5,800,1801686176,799.995605
800,5,900,962773006,899.9920985
800,5,1000,623246102,999.9883847
800,5,1100,435242056,1099.983534
800,5.6,500,382118268,500.0037329
800,5.6,600,525236034,600.0004818
800,5.6,700,857341836,699.9988592
800,5.6,800,1944747336,799.995605
800,5.6,900,917118828,899.9920985
800,5.6,1000,599851502,999.9883847
800,5.6,1100,493893850,1099.983534
800,6.3,500,437258396,500.0037329
800,6.3,600,647770732,600.0004818
800,6.3,700,1148356646,699.9988592
800,6.3,800,1752501574,799.995605
800,6.3,900,1620659254,899.9920985
800,6.3,1000,581249616,999.9883847
800,6.3,1100,666664026,1099.983534
800,7.1,500,428692958,500.0037329
800,7.1,600,499890598,600.0004818
800,7.1,700,1033485664,699.9988592
800,7.1,800,2100356826,799.995605
800,7.1,900,1602901246,899.9920985
800,7.1,1000,1279292982,999.9883847
800,7.1,1100,719627224,1099.983534
800,8,500,493620860,500.0037329
800,8,600,707886046,600.0004818
800,8,700,1279651572,699.9988592
800,8,800,1621947116,799.995605
800,8,900,1842922996,899.9920985
800,8,1000,1568996238,999.9883847
800,8,1100,991479150,1099.983534
800,9,500,644198566,500.0037329
800,9,600,863461946,600.0004818
800,9,700,1920582732,699.9988592
800,9,800,1686766938,799.995605
800,9,900,1004687666,899.9920985
800,9,1000,734883350,999.9883847
800,9,1100,998090620,1099.983534
800,10,500,643105988,500.0037329
800,10,600,1700894174,600.0004818
800,10,700,2713620956,699.9988592
800,10,800,1832544480,799.995605
800,10,900,1277096576,899.9920985
800,10,1000,864707180,999.9883847
800,10,1100,691739918,1099.983534
800,11,500,721376258,500.0037329
800,11,600,855956028,600.0004818
800,11,700,1117240664,699.9988592
800,11,800,1299555732,799.995605
800,11,900,1061785702,899.9920985
800,11,1000,1159950538,999.9883847
800,11,1100,844939238,1099.983534
800,13,500,811457994,500.0037329
800,13,600,1137037930,600.0004818
800,13,700,1352449582,699.9988592
800,13,800,1972791442,799.995605
800,13,900,1841668008,899.9920985
800,13,1000,1086932316,999.9883847
800,13,1100,841013316,1099.983534
800,14,500,963358580,500.0037329
800,14,600,1422804446,600.0004818
800,14,700,1820380036,699.9988592
800,14,800,3126644774,799.995605
800,14,900,1801761506,899.9920985
800,14,1000,1659341798,999.9883847
800,14,1100,1213751350,1099.983534
800,16,500,1014861406,500.0037329
800,16,600,1236168822,600.0004818
800,16,700,2079828754,699.9988592
800,16,800,1786515198,799.995605
800,16,900,1059655392,899.9920985
800,16,1000,734354904,999.9883847
800,16,1100,1143980506,1099.983534
